ImageNumber,Image_FileName_OrigER,Image_FileName_OrigHoechst,Image_FileName_OrigMito,Image_FileName_OrigPh_golgi,Image_FileName_OrigSyto,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_BROAD_ID,Image_Metadata_CPD_MMOL_CONC,Image_Metadata_CPD_PLATE_MAP_NAME,Image_Metadata_CPD_SMILES,Image_Metadata_CPD_WELL_POSITION,Image_Metadata_PlateID,Image_Metadata_SOURCE_COMPOUND_NAME,Image_Metadata_SOURCE_NAME,Image_Metadata_Site,Image_Metadata_Time,Image_PathName_OrigER,Image_PathName_OrigHoechst,Image_PathName_OrigMito,Image_PathName_OrigPh_golgi,Image_PathName_OrigSyto
11,IXMtest_A02_s2_w28F2DBB99-8D5F-43AC-B168-3EE93B68D7E7.tif,IXMtest_A02_s2_w1D18DF60D-A77E-4A79-B823-CA9754A95240.tif,IXMtest_A02_s2_w5EAE94D12-813B-4F7E-A1CB-413654D25A41.tif,IXMtest_A02_s2_w436D1859D-54CB-46E5-B0A2-3AE92FAE9934.tif,IXMtest_A02_s2_w3C8965B83-AB21-4710-92C6-D35E126A339E.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,2,1.26754E+12,20585/,20585/,20585/,20585/,20585/
12,IXMtest_A02_s3_w2CFDF7C8A-F5B2-4379-ADC0-F0E8A8E66244.tif,IXMtest_A02_s3_w1F9B2A085-E37A-409A-80E6-3D264FD375F1.tif,IXMtest_A02_s3_w5481A1D67-91EC-4216-B626-E8BA98479C96.tif,IXMtest_A02_s3_w4088CCB69-CE85-4EF9-97D5-28C6ED6A0DC0.tif,IXMtest_A02_s3_w364F4864C-95E8-4BD1-AA43-92D9225FDA1A.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,3,1.26754E+12,20585/,20585/,20585/,20585/,20585/
13,IXMtest_A02_s4_w215A81966-E066-4212-B4B5-AB191F66C10D.tif,IXMtest_A02_s4_w1A422B830-5958-460D-BA96-20247897BBE6.tif,IXMtest_A02_s4_w5841FFF61-6221-4BE6-BBB5-B1AA96AC44CB.tif,IXMtest_A02_s4_w40B1757EC-B080-4014-94C1-5101C39DF39F.tif,IXMtest_A02_s4_w3391C182D-D482-4C2D-8313-6EEEB0F396DB.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,4,1.26754E+12,20585/,20585/,20585/,20585/,20585/
14,IXMtest_A02_s5_w22B396477-2F5D-4307-B7CF-F1263A59E049.tif,IXMtest_A02_s5_w161A7766F-A786-4CEC-9678-C72AAE0AD42E.tif,IXMtest_A02_s5_w539A7861B-7BF7-464F-9B8C-1E312266BF72.tif,IXMtest_A02_s5_w411435BB5-F132-44FD-B7FD-22C842FE41C0.tif,IXMtest_A02_s5_w3127EEE5E-F3A3-425C-B181-894521319D93.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,5,1.26754E+12,20585/,20585/,20585/,20585/,20585/
15,IXMtest_A02_s6_w2E192A9CF-E8A8-44EE-A97A-87F92DD9AAC0.tif,IXMtest_A02_s6_w16061A696-DDDB-4A44-89CF-5104B9F54A37.tif,IXMtest_A02_s6_w579F85493-7073-4D25-8651-A404F93B24EF.tif,IXMtest_A02_s6_w4201B33C5-4418-49CE-AFA4-CE313F4CB0C9.tif,IXMtest_A02_s6_w349DEF89C-EE75-414B-A310-2184AFE74D03.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,6,1.26754E+12,20585/,20585/,20585/,20585/,20585/
16,IXMtest_A02_s7_w23013DDFB-9104-48F7-8868-60F99C2DFF0B.tif,IXMtest_A02_s7_w1A18819FA-22CA-4886-9FA7-94D2B3FFD09F.tif,IXMtest_A02_s7_w5AA5A58B5-58CC-4EFF-9498-477073B81BE0.tif,IXMtest_A02_s7_w41B8A62F7-5B68-4BA1-B016-718579BFF8A4.tif,IXMtest_A02_s7_w35F97F26C-44EF-467E-A8C4-CB4C574A29CB.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,7,1.26754E+12,20585/,20585/,20585/,20585/,20585/
17,IXMtest_A02_s8_w271FF69FD-A32F-4CF5-8D22-BFCDDA5836A3.tif,IXMtest_A02_s8_w1D5E9BBA9-66BD-4DE6-A3F1-8E8BA835909B.tif,IXMtest_A02_s8_w54309A5A3-1E2C-4A35-AAEF-2B55869AC7CD.tif,IXMtest_A02_s8_w4F0E7CF93-774C-47AA-BF62-29FC9FAC5B41.tif,IXMtest_A02_s8_w34137CA0D-D075-4B1D-B8F6-8F879F6ACB97.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,8,1.26754E+12,20585/,20585/,20585/,20585/,20585/
18,IXMtest_A02_s9_w2B30A5DE7-44F8-4B59-8E78-AF3EECC73564.tif,IXMtest_A02_s9_w1994C1B84-9FDC-496D-9984-E3C116069776.tif,IXMtest_A02_s9_w55C0A4EAA-59A4-49F2-BEDD-D577F0A06EE7.tif,IXMtest_A02_s9_w4F5640AC9-EEBB-4CAB-B4A3-43250BB365AB.tif,IXMtest_A02_s9_w3B3127A26-B306-4264-BBD0-41BC4DEB76C7.tif,compound,BRD-A41941932-001-03-0,2.312793797,H-BIOA-002-1,OC[C@H]1OC([C@H](O)[C@@H](O)[C@@H]1O)c2c(O)cc(O)c3c(=O)cc(oc23)c4ccc(O)cc4,A02,20585,Vitexin,Prestwick Chemical Inc.,9,1.26754E+12,20585/,20585/,20585/,20585/,20585/
19,IXMtest_A03_s1_w2A057283E-B879-4330-B8DC-EA57A01EFEED.tif,IXMtest_A03_s1_w1073D64AC-9B57-43E1-A34E-1C7C986DEEFA.tif,IXMtest_A03_s1_w5F9120FE1-BC85-49AD-9C76-7935F46C9589.tif,IXMtest_A03_s1_w4D542B6C0-9F61-4B9A-9FCC-57FBAB4E253C.tif,IXMtest_A03_s1_w3139EC4B7-6CAE-4965-B193-E67115FE4DDF.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,1,1.26754E+12,20585/,20585/,20585/,20585/,20585/
20,IXMtest_A03_s2_w2B10D7BEA-8B6D-4466-AFCE-9C32B730083A.tif,IXMtest_A03_s2_w1BDC8FBC3-3D12-4621-9BDB-F026F088DE31.tif,IXMtest_A03_s2_w59748917A-46DA-4D13-B11E-A4260A3AA696.tif,IXMtest_A03_s2_w4900EEE33-0148-4CD4-946E-792416A9402C.tif,IXMtest_A03_s2_w307268B0F-1342-4525-8BF1-C1E2D1101120.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,2,1.26754E+12,20585/,20585/,20585/,20585/,20585/
21,IXMtest_A03_s3_w2EE3A8DCB-5E93-414A-9EE1-14FDAAAC1C4C.tif,IXMtest_A03_s3_w154D8230E-F729-40B9-861A-A3BB70A52BD4.tif,IXMtest_A03_s3_w5831AAD72-2235-46F1-80AE-2F15C6A52E40.tif,IXMtest_A03_s3_w4B232ACDA-41BB-410D-9D2D-384C99934DD1.tif,IXMtest_A03_s3_w3196D45C5-9FDC-45B4-AC28-A19C8AD761C1.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,3,1.26754E+12,20585/,20585/,20585/,20585/,20585/
22,IXMtest_A03_s4_w2EFCB6F27-4914-4C68-94B9-00D565AB3B76.tif,IXMtest_A03_s4_w1152D504B-450A-4E59-81BD-751445C19555.tif,IXMtest_A03_s4_w5AC675163-1968-4F30-B530-C9B1E31A1308.tif,IXMtest_A03_s4_w47A7736A3-D7D2-4C11-9AE6-31B805AF44E6.tif,IXMtest_A03_s4_w354752D78-7F19-4D20-A922-FFEC0948C81D.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,4,1.26754E+12,20585/,20585/,20585/,20585/,20585/
23,IXMtest_A03_s5_w238535161-319B-46C8-B0AE-97FD44F40176.tif,IXMtest_A03_s5_w1F30CCC22-D301-4491-AE46-DAC9F106849F.tif,IXMtest_A03_s5_w504970393-615B-4885-A46B-B13074FCC25A.tif,IXMtest_A03_s5_w475E2C07C-FCE0-4EA6-AFE8-46063D0E7398.tif,IXMtest_A03_s5_w378035B4F-4C33-4AD9-B854-FCC40E00E284.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,5,1.26754E+12,20585/,20585/,20585/,20585/,20585/
24,IXMtest_A03_s6_w2A2380A14-7102-4562-AC21-40D6D3EE2B99.tif,IXMtest_A03_s6_w1B674A891-80FF-4427-AD06-5C27E3CDD957.tif,IXMtest_A03_s6_w56188AA68-FB60-4068-A7ED-4E0070012DE7.tif,IXMtest_A03_s6_w44C8EF659-A6D3-45DA-945B-63F0811E5845.tif,IXMtest_A03_s6_w3878230B1-A951-4894-B3AF-96E0702C5DA8.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,6,1.26754E+12,20585/,20585/,20585/,20585/,20585/
25,IXMtest_A03_s7_w2107A4C0B-6739-46B6-9590-D36622D27A95.tif,IXMtest_A03_s7_w1FA45B183-9A17-4D89-B118-3B5591BDBDD8.tif,IXMtest_A03_s7_w562D4D189-4DF1-4C3E-AD0D-027B294D3BB5.tif,IXMtest_A03_s7_w47BBAE6F3-9C74-4A41-9757-755386F50A29.tif,IXMtest_A03_s7_w398628D59-9E4E-4C50-9581-F3CBC8A37699.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,7,1.26754E+12,20585/,20585/,20585/,20585/,20585/
26,IXMtest_A03_s8_w2A12D920D-D3E1-4BD8-8499-8615A260D44E.tif,IXMtest_A03_s8_w1556BDC5A-86AE-493D-9E6C-6DD73544443E.tif,IXMtest_A03_s8_w506E65E04-5319-4CD1-BD54-35F891D220A0.tif,IXMtest_A03_s8_w45482A5C3-90E8-442B-9FF7-1F15A6FF6251.tif,IXMtest_A03_s8_w31BF7C46E-9E5E-4B8F-8F06-19E413414019.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,8,1.26754E+12,20585/,20585/,20585/,20585/,20585/
27,IXMtest_A03_s9_w2155FF1F0-C118-471C-8834-B4F3AA1C39D6.tif,IXMtest_A03_s9_w15B197FE6-3D6E-445F-A00C-66DB25BE3961.tif,IXMtest_A03_s9_w5D32A62C4-3B4F-4FB6-8052-44E950BBD209.tif,IXMtest_A03_s9_w4B6F8E5F4-DA20-48C9-890B-C4634900E565.tif,IXMtest_A03_s9_w3AF6B0AA1-C08F-437F-B9D4-FBA8AEBDD1EE.tif,compound,BRD-A26711594-001-02-7,5.213492954,H-BIOA-002-1,COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCCN(C)Cc3ccccc3)C,A03,20585,NICARDIPINE,Biomol International Inc.,9,1.26754E+12,20585/,20585/,20585/,20585/,20585/
28,IXMtest_A04_s1_w2B1749A4E-5664-4BB1-AC76-1D6F3117B19F.tif,IXMtest_A04_s1_w195151D27-9F95-44DE-A514-2ED183E548C9.tif,IXMtest_A04_s1_w5C1DA9287-9509-42B8-8A21-802601F0C435.tif,IXMtest_A04_s1_w426413DA4-6BAF-4043-AC32-32ED423C6A9D.tif,IXMtest_A04_s1_w3FD2207BC-B50E-4FDE-8C48-15BC163CE4ED.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,1,1.26754E+12,20585/,20585/,20585/,20585/,20585/
29,IXMtest_A04_s2_w2A259DD4A-85C0-4FA3-B5EB-26C2A44DF701.tif,IXMtest_A04_s2_w1F4C65F6F-669F-47F6-9B12-41D7934E620E.tif,IXMtest_A04_s2_w5F34EF3CF-8789-49A3-9A29-0E17C9851ABD.tif,IXMtest_A04_s2_w482487AB0-DC62-4DDB-8C6A-D2E21B1767CB.tif,IXMtest_A04_s2_w3AE53FC9D-FF3A-4B9D-AD0B-774C47A361AA.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,2,1.26754E+12,20585/,20585/,20585/,20585/,20585/
30,IXMtest_A04_s3_w23C420BC0-F200-42C1-900F-EF4529A02E89.tif,IXMtest_A04_s3_w11071C8A6-DAB4-47F5-92FC-F2B3F6FCFDE8.tif,IXMtest_A04_s3_w5DC38A226-30B7-44AD-9FD3-BCBE0272C4C4.tif,IXMtest_A04_s3_w4446B2612-C05A-4384-9EA0-0CD98238F83A.tif,IXMtest_A04_s3_w370240D6F-1D37-4826-85EA-D393EEDC0F95.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,3,1.26754E+12,20585/,20585/,20585/,20585/,20585/
31,IXMtest_A04_s4_w2E673FA06-EC73-4650-B8BA-0A925475A232.tif,IXMtest_A04_s4_w1C0B8E9E2-9839-4F34-AFB7-4978BC8AE017.tif,IXMtest_A04_s4_w526B5C05B-E3EC-4273-B1BD-C4BB54BE7DDF.tif,IXMtest_A04_s4_w4744F9AA2-0EBE-454E-BD1F-4190FDC6D1A6.tif,IXMtest_A04_s4_w39344E512-890A-4575-A7BB-2E475B4E0357.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,4,1.26754E+12,20585/,20585/,20585/,20585/,20585/
32,IXMtest_A04_s5_w2A21909FD-D726-42A3-A862-960898F12746.tif,IXMtest_A04_s5_w122174D22-0529-4EDF-9A59-FD630161F8F3.tif,IXMtest_A04_s5_w56B4B2D87-E981-4B1E-A4B5-06812F47CA93.tif,IXMtest_A04_s5_w48673F752-325A-467D-B1D6-00C2C7177DC6.tif,IXMtest_A04_s5_w3344EDCEF-133C-4114-9CC7-005BA4B23BBE.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,5,1.26754E+12,20585/,20585/,20585/,20585/,20585/
33,IXMtest_A04_s6_w252232C68-D58F-4E4C-ADD0-B95EF78B96EC.tif,IXMtest_A04_s6_w1F97DAF03-251C-4576-AC65-D7FF1D024D9D.tif,IXMtest_A04_s6_w518A61562-A64C-441F-B5F4-15C1F59B82B7.tif,IXMtest_A04_s6_w45423CBE5-2A3D-43E6-907C-2D8E356B3AE5.tif,IXMtest_A04_s6_w3D65A302B-A584-44D4-8C45-4AEA871DF851.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,6,1.26754E+12,20585/,20585/,20585/,20585/,20585/
34,IXMtest_A04_s7_w221A0C206-0CD2-4731-B7D4-298D613416AE.tif,IXMtest_A04_s7_w180A80C99-60AD-4EF0-8F15-DA62CA157AFF.tif,IXMtest_A04_s7_w51968146C-7BA4-4296-8274-0A19D0BC1288.tif,IXMtest_A04_s7_w4F0CF5FDF-0565-4385-B8D1-70071B6CEC85.tif,IXMtest_A04_s7_w3F332EF0A-B4AC-4B3B-ADEE-D1D7D5A9D181.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,7,1.26754E+12,20585/,20585/,20585/,20585/,20585/
35,IXMtest_A04_s8_w2257BF330-926D-4019-9D84-9FA2B9BA148E.tif,IXMtest_A04_s8_w1C56A3BD5-35E7-4CA5-A951-14119911F043.tif,IXMtest_A04_s8_w520E6B0F2-397F-44B8-AC33-60736F6F178D.tif,IXMtest_A04_s8_w4217855D0-1D32-49F3-8DB7-BA4B7312F93E.tif,IXMtest_A04_s8_w3EECAEF7F-AF58-44FC-A075-6887E40E2480.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,8,1.26754E+12,20585/,20585/,20585/,20585/,20585/
36,IXMtest_A04_s9_w214D2F955-7551-480E-9D0E-966539372407.tif,IXMtest_A04_s9_w1272F0BB7-F1D8-4F22-8219-1DECCC8B9E00.tif,IXMtest_A04_s9_w5E22A9C4B-572A-40AF-BEBB-50D4A31F5FB8.tif,IXMtest_A04_s9_w41309A0DF-2E6F-4F8C-8029-3A7C4C2E5DD2.tif,IXMtest_A04_s9_w3ACD6A8C6-F957-404B-A240-58D70FBADB63.tif,compound,BRD-K65667145-001-05-8,4.646594864,H-BIOA-002-1,C(Nc1ncnc2[nH]cnc12)c3ccco3,A04,20585,6-Furfurylaminopurine,Prestwick Chemical Inc.,9,1.26754E+12,20585/,20585/,20585/,20585/,20585/
